hours_study,attendance_rate,gpa_prev,extra_activities,sleep_hours,social_media_hours,gender,city,passed
20.0,88.6,2.58,4,7.5,2.8,Male,Cairo,1
21.8,88.9,,2,7.5,2.7,Female,Alexandria,1
18.4,80.8,2.7,3,6.0,2.4,Male,Giza,1
14.7,100.0,2.27,1,6.3,3.7,Female,Alexandria,1
17.3,88.7,3.27,0,4.5,0.0,Male,Cairo,1
14.1,100.0,2.48,3,5.9,3.0,Male,Cairo,1
20.4,94.6,2.5,1,4.8,1.0,Female,Giza,1
28.0,78.4,1.97,2,7.5,0.6,Female,Cairo,1
17.0,81.2,2.33,5,7.1,2.4,Female,Alexandria,1
16.3,89.4,3.19,0,8.1,1.8,Male,Giza,1
22.9,85.6,1.83,3,7.4,3.3,Male,Giza,0
22.1,,2.76,4,6.2,4.1,Male,Alexandria,1
20.6,82.1,3.23,2,7.4,0.0,Male,Giza,1
14.4,66.9,2.57,4,6.5,2.3,Female,Cairo,1
19.8,,2.94,0,7.7,5.3,Male,Giza,1
24.2,62.8,2.13,5,7.4,3.7,Male,Alexandria,1
11.9,88.7,3.59,5,5.8,4.6,Male,Cairo,1
17.3,77.7,3.46,0,7.0,2.6,Female,Giza,1
8.6,77.8,2.94,3,7.1,0.3,Male,Cairo,1
12.3,,1.75,5,6.6,0.7,Male,Giza,1
8.9,87.7,2.17,0,8.1,3.5,Female,Cairo,0
18.6,70.7,,4,9.1,3.8,Male,Alexandria,1
12.4,67.5,3.83,2,6.6,1.3,Female,Cairo,1
21.6,74.3,,1,6.6,2.0,Male,Alexandria,1
20.9,64.6,3.55,5,4.3,2.8,Male,Cairo,1
18.9,75.3,2.44,2,6.8,0.0,Female,Giza,0
4.9,100.0,2.69,1,6.5,1.9,Female,Cairo,1
16.8,74.4,2.8,3,4.4,4.8,Male,Alexandria,1
19.7,91.5,3.05,3,7.3,5.7,Male,Giza,1
20.7,71.3,1.88,1,7.7,,Male,Cairo,1
10.8,88.0,3.36,4,6.1,,Male,Alexandria,1
17.1,81.8,3.59,0,6.6,1.6,Male,Cairo,1
,84.4,2.11,3,5.8,1.2,Female,Alexandria,1
15.1,90.7,1.99,5,7.9,0.0,Female,Giza,1
26.4,100.0,3.01,4,5.2,3.8,Male,Cairo,1
15.2,86.9,2.41,0,6.6,1.9,Female,Giza,1
19.8,86.2,1.38,4,9.3,5.9,Male,Cairo,1
25.3,75.3,3.29,2,7.1,2.9,Female,Cairo,1
16.5,90.8,2.89,0,7.6,2.7,Male,Giza,1
19.3,82.5,2.51,2,6.8,0.0,Male,Cairo,1
20.7,93.3,4.0,1,5.6,4.7,Male,Cairo,1
20.4,84.6,2.88,5,7.0,1.9,Male,Cairo,1
12.6,100.0,2.35,2,7.5,2.2,Female,Giza,1
20.5,65.2,2.86,3,5.8,0.0,Male,Giza,1
28.2,82.0,2.18,3,7.4,3.8,Male,Alexandria,1
10.7,93.8,2.34,2,8.5,3.9,Male,Alexandria,1
25.2,81.5,3.03,0,8.3,1.5,Female,Alexandria,1
20.7,77.1,2.47,5,5.1,2.6,Male,Giza,1
16.2,82.3,2.53,1,5.8,3.0,Male,Cairo,1
32.0,71.2,3.8,2,5.1,3.9,Male,Alexandria,1
24.6,86.2,3.32,2,8.3,2.6,Female,Giza,1
12.8,100.0,3.28,4,7.7,5.0,Male,Cairo,1
20.4,96.5,3.12,0,7.8,2.1,Male,Cairo,1
23.5,73.9,3.09,1,5.9,1.5,Female,Giza,0
18.9,76.3,3.67,5,5.6,1.7,Male,Cairo,1
24.1,81.0,2.79,4,7.1,0.0,Female,Cairo,1
,95.0,3.91,3,7.1,1.2,Female,Giza,1
24.0,76.8,2.23,4,6.0,3.9,Female,Alexandria,1
28.6,78.1,2.65,2,7.2,2.8,Female,Alexandria,1
15.9,93.8,1.97,4,7.8,1.2,Female,Cairo,1
21.2,93.6,2.59,4,7.3,2.9,Male,Alexandria,1
17.2,81.3,3.11,2,5.8,0.0,Male,Cairo,1
20.8,73.8,3.67,4,4.5,,Female,Alexandria,1
12.9,69.5,2.4,1,6.7,3.2,Female,Alexandria,1
16.5,78.0,2.8,1,7.2,3.5,Female,Giza,1
18.8,62.7,2.58,3,6.7,18.6,Male,Alexandria,1
25.4,92.5,2.36,0,6.5,3.8,Male,Giza,1
26.9,78.7,2.09,5,6.2,5.2,Male,Cairo,1
12.1,89.8,2.84,4,7.9,,Male,Alexandria,1
15.2,100.0,1.76,1,6.9,3.5,Female,Cairo,1
23.9,96.7,2.87,1,7.1,,Male,Alexandria,1
8.0,73.5,2.81,0,5.8,,Female,Alexandria,1
17.2,93.7,2.41,2,6.3,3.3,Female,Cairo,1
19.4,96.6,2.19,1,7.2,2.5,Female,Alexandria,1
27.5,77.5,1.97,5,5.8,2.7,Female,Giza,0
24.1,75.5,3.92,5,5.5,1.5,Male,Cairo,1
18.0,83.9,,1,6.6,2.0,Female,Alexandria,1
17.8,69.0,3.73,0,8.4,3.6,Male,Giza,1
18.5,99.7,3.16,1,7.2,5.0,Male,Cairo,1
,60.9,2.58,0,8.8,18.6,Female,Cairo,1
17.4,73.9,2.11,4,6.8,0.0,Male,Alexandria,1
18.2,,3.43,0,6.6,4.3,Female,Alexandria,1
22.1,82.7,3.84,1,5.3,3.3,Female,Giza,1
19.3,86.7,2.24,5,6.3,3.4,Female,Alexandria,1
18.8,87.7,2.62,4,8.7,2.7,Male,Alexandria,1
13.3,82.9,3.43,2,7.4,5.9,Male,Cairo,1
19.9,96.4,3.0,0,7.9,2.5,Male,Giza,1
17.3,63.6,4.0,4,7.8,3.2,Male,Giza,1
27.0,,2.46,1,7.0,0.0,Male,Cairo,1
23.9,77.9,3.13,4,6.8,1.6,Female,Alexandria,1
19.9,86.3,2.05,4,7.1,1.4,Female,Giza,1
24.0,87.2,4.0,2,7.8,2.4,Male,Alexandria,1
18.0,75.9,2.36,0,7.5,,Female,Giza,1
26.3,78.6,1.48,4,7.6,1.3,Male,Cairo,1
20.0,92.9,2.72,5,7.2,5.0,Female,Alexandria,1
23.5,88.5,2.72,2,6.1,,Female,Alexandria,1
12.3,,3.95,2,6.7,1.7,Female,Cairo,1
22.1,100.0,2.6,3,5.9,2.8,Female,Alexandria,1
9.9,100.0,,5,8.2,0.5,Female,Cairo,1
7.8,70.4,3.16,1,4.5,3.3,Female,Alexandria,0
18.2,88.0,3.75,1,6.7,3.4,Male,Alexandria,1
14.6,100.0,2.76,0,9.9,2.0,Male,Alexandria,1
21.0,92.8,3.42,0,6.6,5.3,Male,Cairo,1
33.5,87.2,3.11,3,5.6,2.5,Female,Cairo,1
15.0,82.9,2.62,5,7.0,2.8,Male,Giza,1
16.3,79.6,2.85,1,8.5,1.0,Female,Alexandria,1
21.2,,2.82,1,6.8,0.0,Male,Cairo,1
23.0,79.5,2.25,1,7.7,1.5,Female,Cairo,1
18.9,92.4,3.53,1,7.1,1.9,Female,Alexandria,1
18.8,81.0,1.97,5,6.6,1.7,Female,Cairo,1
24.2,80.6,3.5,5,10.8,3.6,Male,Giza,1
23.1,73.0,3.37,2,7.1,0.0,Female,Cairo,1
13.8,84.5,2.74,2,6.4,0.7,Male,Giza,1
19.5,76.1,2.34,0,6.4,0.0,Female,Alexandria,1
20.2,83.2,2.66,1,7.5,4.4,Male,Alexandria,1
13.7,95.4,3.08,3,7.5,1.6,Male,Alexandria,1
21.6,88.7,3.25,0,7.9,1.7,Female,Alexandria,1
14.9,90.0,2.97,3,7.2,0.8,Female,Cairo,1
25.8,88.6,3.4,3,5.3,3.8,Female,Alexandria,1
21.2,85.6,2.47,0,7.6,1.8,Female,Cairo,1
,83.7,2.94,2,6.6,2.8,Female,Cairo,1
16.5,81.9,1.86,2,6.7,0.0,Female,Giza,1
19.3,92.6,3.26,0,5.2,4.2,Female,Giza,1
8.0,74.2,2.89,3,6.3,3.0,Male,Alexandria,1
,98.4,2.55,5,6.1,3.3,Male,Cairo,1
22.2,85.3,3.5,1,7.0,4.3,Male,Alexandria,1
7.2,77.5,3.21,3,5.3,2.1,Male,Alexandria,1
25.1,80.1,1.11,5,7.1,2.2,Male,Cairo,1
9.5,78.2,2.82,5,7.1,3.5,Male,Cairo,1
24.5,86.6,1.93,4,5.7,3.1,Female,Alexandria,1
14.9,77.8,3.44,2,6.3,2.1,Female,Cairo,1
24.7,96.4,4.0,3,6.0,2.5,Male,Alexandria,1
20.8,,2.49,0,8.1,1.7,Male,Cairo,1
10.8,62.3,2.84,5,4.0,3.5,Female,Cairo,1
,77.7,2.65,0,6.6,3.8,Female,Alexandria,1
28.7,64.9,3.01,0,5.0,2.4,Female,Cairo,1
19.6,84.6,3.19,0,6.5,5.2,Male,Giza,1
18.4,95.6,3.57,1,8.0,,Female,Giza,1
19.0,91.5,2.21,5,6.2,2.1,Female,Alexandria,1
14.1,71.6,3.74,5,7.2,5.0,Female,Alexandria,1
26.6,77.4,2.24,3,6.0,1.8,Male,Alexandria,1
16.7,100.0,2.97,3,9.3,0.0,Female,Cairo,1
19.7,88.2,3.5,1,8.1,4.5,Female,Giza,1
15.2,85.0,3.23,1,8.4,3.2,Male,Cairo,1
16.2,95.6,2.24,3,5.4,0.6,Male,Alexandria,1
75.4,100.0,2.38,3,5.7,3.6,Female,Alexandria,1
27.5,98.0,2.52,2,8.3,0.9,Male,Cairo,1
19.1,86.4,2.77,4,6.8,0.4,Female,Cairo,1
25.8,88.5,3.49,1,6.7,2.2,Male,Alexandria,1
20.1,,2.02,3,7.4,1.7,Male,Giza,1
15.8,78.9,3.08,4,5.5,0.8,Male,Cairo,1
18.0,74.4,3.17,0,7.9,1.9,Male,Alexandria,1
16.6,85.5,3.13,2,7.0,0.9,Female,Alexandria,1
20.0,75.5,3.08,0,7.6,2.5,Male,Alexandria,1
17.7,84.4,3.71,0,6.2,2.4,Female,Alexandria,1
18.2,86.0,3.09,2,7.6,3.5,Female,Alexandria,1
11.7,100.0,3.31,2,6.2,1.7,Male,Alexandria,1
,76.5,3.14,0,8.1,0.4,Male,Giza,0
29.9,83.8,3.88,0,8.4,0.4,Female,Alexandria,1
16.0,83.4,1.66,0,8.1,2.1,Male,Alexandria,0
13.7,89.4,3.57,5,7.6,4.7,Female,Cairo,1
22.0,95.5,2.64,3,7.8,3.7,Male,Cairo,1
28.4,,2.63,1,3.8,1.5,Female,Giza,1
11.3,76.8,2.22,2,8.0,3.8,Male,Cairo,1
18.7,68.6,1.68,2,6.7,0.7,Male,Cairo,1
16.2,75.7,2.57,0,7.1,4.0,Male,Giza,1
9.4,90.4,2.39,1,6.7,,Female,Cairo,1
24.4,85.5,3.1,5,5.3,3.6,Female,Alexandria,1
19.9,74.8,1.92,1,6.4,3.4,Female,Cairo,1
20.4,81.3,3.66,2,7.8,2.0,Male,Alexandria,1
15.5,85.3,2.96,2,8.7,2.9,Male,Giza,1
,90.0,2.65,5,6.3,0.8,Female,Giza,1
16.8,79.1,2.37,5,5.9,2.3,Female,Alexandria,1
19.1,82.5,2.33,3,8.7,4.1,Female,Alexandria,1
13.4,66.8,2.12,4,5.9,8.6,Male,Alexandria,1
12.7,73.5,2.47,3,9.5,3.5,Male,Cairo,1
28.0,100.0,2.8,3,7.1,2.6,Female,Cairo,1
,63.1,2.69,2,5.9,0.9,Male,Alexandria,0
21.8,81.6,1.95,2,8.2,4.0,Male,Cairo,1
,87.2,2.64,4,9.0,0.0,Female,Giza,1
17.4,,2.26,1,5.3,1.2,Male,Cairo,1
17.0,76.9,2.9,1,8.9,3.0,Female,Alexandria,1
23.8,84.4,3.92,3,6.7,0.6,Female,Cairo,1
18.2,85.0,3.18,1,8.8,4.7,Male,Alexandria,1
19.1,84.2,2.61,2,6.5,4.1,Male,Alexandria,1
20.1,66.2,1.83,5,5.1,1.6,Male,Cairo,1
27.1,83.5,1.95,0,7.6,1.6,Male,Giza,1
24.1,76.4,1.79,1,8.1,0.4,Male,Alexandria,1
22.3,79.5,3.24,5,9.5,0.3,Male,Alexandria,1
16.6,87.3,2.34,2,9.1,3.1,Male,Alexandria,1
11.7,91.4,2.84,2,7.8,3.4,Male,Cairo,1
,94.0,2.43,4,6.7,3.0,Male,Giza,1
25.8,,2.85,5,6.4,18.6,Female,Cairo,1
19.2,94.2,3.64,1,6.6,1.6,Male,Cairo,1
23.3,96.7,2.39,2,6.0,3.0,Male,Alexandria,1
24.7,96.4,2.6,2,6.7,0.2,Female,Giza,1
25.0,98.9,2.32,5,3.9,2.4,Female,Giza,1
25.5,83.5,3.32,5,7.2,4.6,Female,Alexandria,1
17.3,83.3,2.18,0,7.0,,Female,Cairo,1
29.1,93.3,2.12,1,10.1,1.7,Male,Alexandria,1
12.5,71.3,1.97,3,7.9,1.9,Female,Alexandria,0
25.2,87.1,1.95,1,6.4,4.5,Female,Giza,1
23.0,79.7,3.08,0,7.7,5.1,Male,Giza,1
25.2,81.3,4.0,5,5.5,0.2,Female,Alexandria,1
31.3,67.6,2.2,5,6.3,1.8,Female,Giza,1
28.9,76.1,3.37,1,4.8,2.8,Female,Alexandria,1
13.1,84.8,2.95,3,8.7,4.3,Male,Giza,1
9.9,93.9,2.14,1,7.7,1.2,Female,Alexandria,1
24.9,94.9,2.63,0,5.6,3.4,Female,Cairo,1
13.9,84.2,2.66,5,6.9,2.0,Female,Alexandria,1
19.9,83.1,2.39,0,8.1,6.0,Male,Alexandria,0
25.0,76.7,3.96,1,7.6,3.1,Male,Cairo,1
10.1,89.0,1.66,0,7.5,2.2,Female,Cairo,0
7.3,82.5,3.03,5,6.0,1.9,Male,Cairo,1
21.6,91.1,3.0,3,6.2,4.0,Female,Alexandria,1
20.3,100.0,2.45,4,7.1,3.5,Male,Cairo,1
75.4,84.7,2.89,2,8.1,0.8,Female,Cairo,1
20.2,70.0,3.33,5,6.0,2.8,Female,Giza,1
14.8,76.4,2.89,3,5.7,0.4,Female,Giza,1
10.9,70.4,3.05,1,8.4,1.3,Female,Giza,1
19.0,73.0,3.22,0,5.9,0.5,Male,Giza,1
14.2,98.1,1.58,1,8.3,0.4,Male,Alexandria,0
10.1,87.3,3.69,5,7.3,1.4,Male,Alexandria,1
23.0,69.8,4.0,4,8.1,,Male,Alexandria,1
19.6,91.5,3.39,5,9.1,3.2,Male,Alexandria,1
22.4,97.6,3.41,4,7.8,3.6,Female,Cairo,1
14.1,81.4,1.96,3,7.9,2.1,Male,Cairo,1
16.1,78.2,,1,5.9,0.7,Female,Alexandria,1
14.0,81.6,2.31,2,6.2,3.6,Female,Alexandria,0
,87.8,2.45,1,7.8,0.0,Male,Giza,1
21.2,91.4,3.38,5,8.8,,Male,Cairo,1
15.3,96.8,2.32,1,8.7,3.5,Female,Cairo,1
22.1,97.1,2.72,4,9.8,3.4,Male,Cairo,1
22.0,96.9,1.65,0,7.4,3.9,Male,Cairo,1
32.2,98.6,2.7,2,7.2,2.1,Female,Cairo,1
11.6,91.6,2.85,2,8.2,0.5,Female,Alexandria,1
25.3,69.7,2.38,4,7.0,1.7,Male,Giza,1
19.5,83.7,2.37,3,6.9,3.3,Male,Cairo,1
19.9,88.1,3.93,4,5.7,1.3,Female,Cairo,1
,81.2,2.07,3,8.2,1.4,Male,Alexandria,0
17.2,94.1,2.17,0,5.7,0.3,Male,Cairo,1
24.5,81.4,2.31,0,7.6,0.7,Female,Cairo,1
19.5,75.7,3.52,2,5.3,3.7,Female,Giza,1
20.5,99.4,4.0,1,8.3,3.1,Female,Cairo,1
18.3,91.7,3.0,1,5.8,0.7,Male,Cairo,1
26.9,87.2,2.37,0,8.0,0.8,Female,Alexandria,1
,94.3,2.54,5,5.1,1.6,Male,Alexandria,1
6.8,95.6,3.44,1,6.5,3.3,Male,Giza,1
15.8,88.4,2.25,4,8.4,0.7,Male,Alexandria,0
8.2,60.4,3.67,1,6.0,2.2,Male,Cairo,1
0.5,78.2,3.65,0,7.1,,Male,Cairo,1
